simulation,match_id,team_a,team_b,ga,gb,outcome,winner,loser
3,59,USA,Turkey,2,3,A,Turkey,
3,60,Paraguay,Australia,3,0,H,Paraguay,
3,61,Norway,France,1,1,D,,
3,62,Senegal,Iraq,1,1,D,,
3,63,Cabo Verde,Saudi Arabia,0,3,A,Saudi Arabia,
3,64,Uruguay,Spain,0,0,D,,
3,65,Egypt,Iran,1,1,D,,
3,66,New Zealand,Belgium,0,1,A,Belgium,
3,67,Panama,England,0,1,A,England,
3,68,Croatia,Ghana,1,0,H,Croatia,
3,69,Colombia,Portugal,2,1,H,Colombia,
3,70,DR Congo,Uzbekistan,2,1,H,DR Congo,
3,71,Algeria,Austria,1,1,D,,
3,72,Jordan,Argentina,1,5,A,Argentina,
3,73,Mexico,Canada,2,1,H,Mexico,Canada
3,74,Brazil,Netherlands,1,1,D,Brazil,Netherlands
3,75,Ecuador,Haiti,0,0,D,Haiti,Ecuador
3,76,Japan,Scotland,0,0,D,Japan,Scotland
3,77,Germany,Senegal,0,0,D,Senegal,Germany
3,78,Norway,Australia,1,0,H,Norway,Australia
3,79,Czech Republic,Sweden,0,0,D,Sweden,Czech Republic
3,80,England,Colombia,1,1,D,England,Colombia
3,81,New Zealand,Côte d'Ivoire,1,0,H,New Zealand,Côte d'Ivoire
3,82,Turkey,Qatar,0,1,A,Qatar,Turkey
3,83,DR Congo,Panama,2,2,D,Panama,DR Congo
3,84,Spain,Algeria,1,0,H,Spain,Algeria
3,85,Switzerland,Belgium,1,1,D,Belgium,Switzerland
3,86,Paraguay,Iran,1,1,D,Iran,Paraguay
3,87,Argentina,Saudi Arabia,3,2,H,Argentina,Saudi Arabia
3,88,Portugal,Croatia,1,1,D,Croatia,Portugal
3,89,Mexico,Haiti,4,0,H,Mexico,Haiti
3,90,Brazil,Senegal,2,2,D,Brazil,Senegal
3,91,Japan,Norway,1,1,D,Norway,Japan
3,92,Sweden,England,2,3,A,England,Sweden
3,93,Panama,Spain,1,1,D,Spain,Panama
3,94,New Zealand,Qatar,0,0,D,Qatar,New Zealand
3,95,Iran,Croatia,0,0,D,Croatia,Iran
3,96,Belgium,Argentina,0,2,A,Argentina,Belgium
3,97,Mexico,Brazil,1,1,D,Brazil,Mexico
3,98,Spain,Qatar,1,0,H,Spain,Qatar
3,99,Norway,England,0,1,A,England,Norway
3,100,Croatia,Argentina,0,6,A,Argentina,Croatia
3,101,Brazil,Spain,2,4,A,Spain,Brazil
3,102,England,Argentina,0,0,D,Argentina,England
3,103,Brazil,England,2,3,A,England,Brazil
3,104,Spain,Argentina,1,0,H,Spain,Argentina
4,1,Mexico,South Africa,0,3,A,South Africa,
4,2,South Korea,Czech Republic,1,1,D,,
4,3,Canada,Bosnia and Herzegovina,1,1,D,,
4,4,USA,Paraguay,0,0,D,,
4,5,Australia,Turkey,0,0,D,,
4,6,Qatar,Switzerland,0,3,A,Switzerland,
4,7,Brazil,Morocco,0,2,A,Morocco,
4,8,Haiti,Scotland,0,1,A,Scotland,
4,9,Germany,Curaçao,2,1,H,Germany,
4,10,Netherlands,Japan,3,0,H,Netherlands,
4,11,Côte d'Ivoire,Ecuador,3,1,H,Côte d'Ivoire,
4,12,Sweden,Tunisia,1,2,A,Tunisia,
4,13,Spain,Cabo Verde,3,1,H,Spain,
4,14,Belgium,Egypt,1,1,D,,
4,15,Saudi Arabia,Uruguay,1,3,A,Uruguay,
4,16,Iran,New Zealand,2,1,H,Iran,
4,17,Austria,Jordan,0,0,D,,
4,18,France,Senegal,1,1,D,,
4,19,Iraq,Norway,1,0,H,Iraq,
4,20,Argentina,Algeria,0,0,D,,
4,21,Portugal,DR Congo,1,1,D,,
4,22,England,Croatia,7,1,H,England,
4,23,Ghana,Panama,1,5,A,Panama,
4,24,Uzbekistan,Colombia,0,2,A,Colombia,
4,25,Czech Republic,South Africa,2,2,D,,
4,26,Switzerland,Bosnia and Herzegovina,2,0,H,Switzerland,
4,27,Canada,Qatar,2,0,H,Canada,
4,28,Mexico,South Korea,2,1,H,Mexico,
4,29,Turkey,Paraguay,3,1,H,Turkey,
4,30,USA,Australia,0,1,A,Australia,
4,31,Scotland,Morocco,3,1,H,Scotland,
4,32,Brazil,Haiti,1,1,D,,
4,33,Tunisia,Japan,0,4,A,Japan,
4,34,Netherlands,Sweden,3,0,H,Netherlands,
4,35,Germany,Côte d'Ivoire,2,2,D,,
4,36,Ecuador,Curaçao,1,2,A,Curaçao,
4,37,Spain,Saudi Arabia,2,2,D,,
4,38,Belgium,Iran,1,1,D,,
4,39,Uruguay,Cabo Verde,0,0,D,,
4,40,New Zealand,Egypt,1,2,A,Egypt,
4,41,Argentina,Austria,3,0,H,Argentina,
4,42,France,Iraq,2,0,H,France,
4,43,Norway,Senegal,0,1,A,Senegal,
4,44,Jordan,Algeria,1,0,H,Jordan,
4,45,Portugal,Uzbekistan,1,1,D,,
4,46,England,Ghana,0,0,D,,
4,47,Panama,Croatia,0,2,A,Croatia,
4,48,Colombia,DR Congo,1,0,H,Colombia,
4,49,Switzerland,Canada,0,0,D,,
4,50,Bosnia and Herzegovina,Qatar,1,1,D,,
4,51,Scotland,Brazil,0,0,D,,
4,52,Morocco,Haiti,4,1,H,Morocco,
4,53,Czech Republic,Mexico,1,1,D,,
4,54,South Africa,South Korea,0,2,A,South Korea,
4,55,Curaçao,Côte d'Ivoire,0,1,A,Côte d'Ivoire,
4,56,Ecuador,Germany,1,5,A,Germany,
4,57,Japan,Sweden,0,2,A,Sweden,
4,58,Tunisia,Netherlands,1,2,A,Netherlands,
4,59,USA,Turkey,0,1,A,Turkey,
4,60,Paraguay,Australia,1,1,D,,
4,61,Norway,France,0,0,D,,
4,62,Senegal,Iraq,0,0,D,,
4,63,Cabo Verde,Saudi Arabia,0,0,D,,
4,64,Uruguay,Spain,0,1,A,Spain,
4,65,Egypt,Iran,1,1,D,,
4,66,New Zealand,Belgium,0,4,A,Belgium,
4,67,Panama,England,0,0,D,,
4,68,Croatia,Ghana,9,0,H,Croatia,
4,69,Colombia,Portugal,0,0,D,,
4,70,DR Congo,Uzbekistan,1,2,A,Uzbekistan,
4,71,Algeria,Austria,1,0,H,Algeria,
4,72,Jordan,Argentina,0,1,A,Argentina,
4,73,South Korea,Canada,0,0,D,Canada,South Korea
4,74,Scotland,Japan,1,3,A,Japan,Scotland
4,75,Germany,Mexico,0,0,D,Germany,Mexico
4,76,Netherlands,Morocco,0,2,A,Morocco,Netherlands
4,77,Côte d'Ivoire,Senegal,0,2,A,Senegal,Côte d'Ivoire
4,78,France,Egypt,3,0,H,France,Egypt
4,79,South Africa,Iraq,0,0,D,Iraq,South Africa
4,80,Croatia,Portugal,2,0,H,Croatia,Portugal
4,81,Belgium,Algeria,0,0,D,Algeria,Belgium
4,82,Turkey,Curaçao,3,0,H,Turkey,Curaçao
4,83,Uzbekistan,England,0,0,D,Uzbekistan,England
4,84,Spain,Jordan,3,0,H,Spain,Jordan
4,85,Switzerland,Sweden,2,2,D,Switzerland,Sweden
4,86,Australia,Iran,1,1,D,Australia,Iran
4,87,Argentina,Uruguay,1,2,A,Uruguay,Argentina
4,88,Colombia,Panama,2,2,D,Panama,Colombia
4,89,Canada,Germany,1,1,D,Germany,Canada
4,90,Japan,Senegal,0,1,A,Senegal,Japan
4,91,Morocco,France,0,3,A,France,Morocco
4,92,Iraq,Croatia,0,3,A,Croatia,Iraq
4,93,Uzbekistan,Spain,0,4,A,Spain,Uzbekistan
4,94,Algeria,Turkey,3,3,D,Algeria,Turkey
4,95,Australia,Panama,2,0,H,Australia,Panama
