model,class,feature,importance,abs_importance
logistic_regression_exp_h2h,D,num__away_exp_total_matches_prior,-0.10397028667080876,0.10397028667080876
logistic_regression_exp_h2h,D,cat__confederation_pair_UEFA_vs_AFC,-0.10309361678105847,0.10309361678105847
logistic_regression_exp_h2h,D,num__win_rate_diff_last10,-0.10292571055006927,0.10292571055006927
logistic_regression_exp_h2h,D,num__home_exp_goal_diff_per_match_prior_filled,-0.10176270127298359,0.10176270127298359
logistic_regression_exp_h2h,A,num__both_teams_have_major_tournament_history,-0.10071451930430525,0.10071451930430525
logistic_regression_exp_h2h,D,cat__away_confederation_UEFA,-0.10014425500906136,0.10014425500906136
logistic_regression_exp_h2h,A,cat__away_confederation_CONCACAF,0.09726619633928499,0.09726619633928499
logistic_regression_exp_h2h,D,num__h2h_same_tournament_matches_prior,0.09671900168164811,0.09671900168164811
logistic_regression_exp_h2h,D,cat__confederation_pair_AFC_vs_AFC,-0.09562989710923413,0.09562989710923413
logistic_regression_exp_h2h,D,cat__home_confederation_AFC,0.09391535202071251,0.09391535202071251
logistic_regression_exp_h2h,D,num__exp_avg_tournament_importance_prior_diff_filled,-0.09380493572819079,0.09380493572819079
logistic_regression_exp_h2h,H,cat__confederation_pair_CONCACAF_vs_CONCACAF,-0.09370129513087097,0.09370129513087097
logistic_regression_exp_h2h,A,cat__host_confederation_NON_FIFA,0.09277395585889898,0.09277395585889898
logistic_regression_exp_h2h,H,num__h2h_same_family_matches_prior,0.09276743974942062,0.09276743974942062
logistic_regression_exp_h2h,A,cat__host_confederation_CAF,0.09250062413170028,0.09250062413170028
logistic_regression_exp_h2h,D,cat__host_confederation_CAF,0.09196201771979476,0.09196201771979476
logistic_regression_exp_h2h,D,cat__confederation_pair_CONMEBOL_vs_CONMEBOL,-0.09172223853513274,0.09172223853513274
logistic_regression_exp_h2h,D,cat__confederation_pair_AFC_vs_CONMEBOL,0.08963110668766804,0.08963110668766804
logistic_regression_exp_h2h,D,num__away_exp_major_points_per_match_prior_filled,-0.08639170920839366,0.08639170920839366
logistic_regression_exp_h2h,D,num__is_friendly,0.08564157279825338,0.08564157279825338
logistic_regression_exp_h2h,A,cat__confederation_pair_UEFA_vs_CONCACAF,0.08504030871662965,0.08504030871662965
logistic_regression_exp_h2h,A,cat__confederation_pair_CONMEBOL_vs_CONMEBOL,-0.08452271107069019,0.08452271107069019
logistic_regression_exp_h2h,A,num__home_exp_years_since_first_match_filled,0.08292034969528178,0.08292034969528178
logistic_regression_exp_h2h,A,num__elo_prob_home_win_proxy,0.0814527695891364,0.0814527695891364
logistic_regression_exp_h2h,H,num__h2h_same_tournament_matches_prior,-0.08035807700700168,0.08035807700700168
logistic_regression_exp_h2h,D,cat__confederation_pair_CONCACAF_vs_CONCACAF,0.07985569715230105,0.07985569715230105
logistic_regression_exp_h2h,H,num__away_exp_same_tournament_matches_prior,0.07851739487858533,0.07851739487858533
logistic_regression_exp_h2h,H,cat__confederation_pair_UEFA_vs_UEFA,-0.07743647404683375,0.07743647404683375
logistic_regression_exp_h2h,D,num__h2h_goal_diff_per_match_prior_filled,-0.07738600679989835,0.07738600679989835
logistic_regression_exp_h2h,H,num__weighted_goal_diff_delta_last5,0.07736989173118405,0.07736989173118405
logistic_regression_exp_h2h,D,num__home_exp_total_matches_prior,-0.07616437377060079,0.07616437377060079
