v3_weight,baseline_weight,validation_log_loss,validation_brier
0.119,0.881,0.9720101632653481,0.5760055514637835
0.12,0.88,0.9719683996072399,0.5759840768296479
0.121,0.879,0.9719267189826912,0.5759626340548101
0.122,0.878,0.971885121242355,0.57594122313927
0.123,0.877,0.971843606237681,0.5759198440830277
0.124,0.876,0.9718021738209094,0.5758984968860831
0.125,0.875,0.9717608238450656,0.5758771815484365
0.126,0.874,0.9717195561639536,0.5758558980700874
0.127,0.873,0.9716783706321501,0.5758346464510362
0.128,0.872,0.9716372671049986,0.5758134266912829
0.129,0.871,0.9715962454386038,0.5757922387908272
0.13,0.87,0.9715553054898258,0.5757710827496695
0.131,0.869,0.9715144471162748,0.5757499585678093
0.132,0.868,0.9714736701763039,0.5757288662452471
0.133,0.867,0.971432974529006,0.5757078057819827
0.134,0.866,0.9713923600342067,0.575686777178016
0.135,0.865,0.9713518265524584,0.575665780433347
0.136,0.864,0.9713113739450366,0.575644815547976
0.137,0.863,0.9712710020739331,0.5756238825219026
0.138,0.862,0.9712307108018517,0.5756029813551271
0.139,0.861,0.9711904999922018,0.5755821120476492
0.14,0.86,0.9711503695090946,0.5755612745994692
0.141,0.859,0.9711103192173371,0.575540469010587
0.142,0.858,0.9710703489824274,0.5755196952810027
0.143,0.857,0.9710304586705492,0.5754989534107159
0.144,0.856,0.9709906481485675,0.5754782433997271
0.145,0.855,0.9709509172840233,0.575457565248036
0.146,0.854,0.9709112659451286,0.5754369189556426
0.147,0.853,0.9708716940007623,0.5754163045225473
0.148,0.852,0.9708322013204643,0.5753957219487494
0.149,0.851,0.9707927877744318,0.5753751712342495
0.15,0.85,0.9707534532335138,0.5753546523790475
0.151,0.849,0.9707141975692072,0.5753341653831431
0.152,0.848,0.9706750206536519,0.5753137102465365
0.153,0.847,0.970635922359626,0.5752932869692277
0.154,0.846,0.9705969025605422,0.5752728955512167
0.155,0.845,0.9705579611304419,0.5752525359925034
0.156,0.844,0.9705190979439918,0.575232208293088
0.157,0.843,0.97048031287648,0.5752119124529703
0.158,0.842,0.9704416058038102,0.5751916484721503
0.159,0.841,0.9704029766024989,0.5751714163506283
0.16,0.84,0.9703644251496699,0.5751512160884039
0.161,0.839,0.9703259513230514,0.5751310476854774
0.162,0.838,0.9702875550009705,0.5751109111418489
0.163,0.837,0.9702492360623505,0.5750908064575178
0.164,0.836,0.9702109943867051,0.5750707336324845
0.165,0.835,0.9701728298541364,0.5750506926667492
0.166,0.834,0.9701347423453288,0.5750306835603115
0.167,0.833,0.9700967317415471,0.5750107063131717
0.168,0.832,0.9700587979246309,0.5749907609253296
0.169,0.831,0.9700209407769914,0.5749708473967855
0.17,0.83,0.969983160181608,0.574950965727539
0.171,0.829,0.9699454560220234,0.5749311159175903
0.172,0.8280000000000001,0.969907828182341,0.5749112979669394
0.173,0.827,0.9698702765472202,0.5748915118755863
0.174,0.8260000000000001,0.9698328010018732,0.5748717576435308
0.175,0.825,0.9697954014320613,0.5748520352707733
0.176,0.8240000000000001,0.9697580777240913,0.5748323447573136
0.177,0.823,0.9697208297648116,0.5748126861031515
0.178,0.8220000000000001,0.9696836574416087,0.5747930593082874
0.179,0.821,0.969646560642404,0.574773464372721
0.18,0.8200000000000001,0.9696095392556501,0.5747539012964523
0.181,0.819,0.9695725931703272,0.5747343700794814
0.182,0.8180000000000001,0.9695357222759396,0.5747148707218085
0.183,0.817,0.9694989264625133,0.574695403223433
0.184,0.8160000000000001,0.9694622056205905,0.5746759675843556
0.185,0.815,0.9694255596412285,0.5746565638045759
0.186,0.8140000000000001,0.9693889884159949,0.5746371918840939
0.187,0.813,0.9693524918369653,0.5746178518229098
0.188,0.812,0.969316069796719,0.5745985436210234
0.189,0.8109999999999999,0.9692797221883372,0.5745792672784348
0.19,0.81,0.969243448905398,0.574560022795144
0.191,0.8089999999999999,0.969207249841975,0.5745408101711511
0.192,0.808,0.9691711248926328,0.5745216294064558
0.193,0.8069999999999999,0.9691350739524248,0.5745024805010583
0.194,0.806,0.9690990969168893,0.5744833634549588
0.195,0.8049999999999999,0.9690631936820475,0.5744642782681568
0.196,0.804,0.9690273641443996,0.5744452249406528
0.197,0.8029999999999999,0.9689916082009219,0.5744262034724463
0.198,0.802,0.9689559257490642,0.5744072138635378
0.199,0.8009999999999999,0.9689203166867466,0.5743882561139271
0.2,0.8,0.9688847809123567,0.5743693302236141
0.201,0.7989999999999999,0.9688493183247469,0.574350436192599
0.202,0.798,0.96881392882323,0.5743315740208816
0.203,0.7969999999999999,0.9687786123075794,0.574312743708462
0.204,0.796,0.9687433686780232,0.5742939452553402
0.205,0.795,0.9687081978352434,0.5742751786615161
0.206,0.794,0.9686730996803717,0.5742564439269899
0.207,0.793,0.9686380741149883,0.5742377410517614
0.208,0.792,0.9686031210411178,0.5742190700358307
0.209,0.791,0.968568240361227,0.5742004308791978
0.21,0.79,0.9685334319782227,0.5741818235818626
0.211,0.789,0.9684986957954482,0.5741632481438252
0.212,0.788,0.9684640317166812,0.5741447045650857
0.213,0.787,0.9684294396461312,0.5741261928456439
0.214,0.786,0.9683949194884366,0.5741077129854999
0.215,0.785,0.9683604711486623,0.5740892649846537
0.216,0.784,0.9683260945322976,0.5740708488431052
0.217,0.783,0.9682917895452525,0.5740524645608547
0.218,0.782,0.9682575560938567,0.5740341121379019
0.219,0.781,0.9682233940848556,0.5740157915742468
0.22,0.78,0.9681893034254095,0.5739975028698895
0.221,0.779,0.9681552840230895,0.57397924602483
0.222,0.778,0.9681213357858761,0.5739610210390682
0.223,0.777,0.968087458622157,0.5739428279126043
0.224,0.776,0.9680536524407234,0.5739246666454381
0.225,0.775,0.9680199171507693,0.5739065372375698
0.226,0.774,0.9679862526618882,0.5738884396889993
0.227,0.773,0.9679526588840704,0.5738703739997264
0.228,0.772,0.9679191357277023,0.5738523401697515
0.229,0.771,0.9678856831035624,0.5738343381990741
0.23,0.77,0.9678523009228194,0.5738163680876947
0.231,0.769,0.9678189890970312,0.573798429835613
0.232,0.768,0.9677857475381411,0.5737805234428293
0.233,0.767,0.9677525761584767,0.5737626489093431
0.234,0.766,0.9677194748707467,0.5737448062351548
0.235,0.765,0.9676864435880398,0.5737269954202642
0.236,0.764,0.9676534822238217,0.5737092164646714
0.237,0.763,0.9676205906919337,0.5736914693683766
0.238,0.762,0.9675877689065898,0.5736737541313794
0.239,0.761,0.9675550167823754,0.57365607075368
0.24,0.76,0.9675223342342444,0.5736384192352784
0.241,0.759,0.9674897211775176,0.5736207995761745
0.242,0.758,0.9674571775278811,0.5736032117763685
0.243,0.757,0.967424703201383,0.5735856558358601
0.244,0.756,0.9673922981144328,0.5735681317546497
0.245,0.755,0.9673599621837983,0.573550639532737
0.246,0.754,0.9673276953266042,0.573533179170122
0.247,0.753,0.9672954974603302,0.573515750666805
0.248,0.752,0.9672633685028088,0.5734983540227856
0.249,0.751,0.967231308372223,0.5734809892380641
