model,class,feature,importance,abs_importance
logistic_regression,A,num__same_confederation,0.019098602359192512,0.019098602359192512
logistic_regression,H,cat__away_confederation_CAF,-0.018560942270977585,0.018560942270977585
logistic_regression,H,num__is_qualifier,0.01693234378969867,0.01693234378969867
logistic_regression,D,num__tournament_importance,-0.016604476534555743,0.016604476534555743
logistic_regression,D,num__avg_goal_diff_delta_last5,0.01644341659791187,0.01644341659791187
logistic_regression,A,cat__confederation_pair_CONCACAF_vs_CONMEBOL,0.015869802435028856,0.015869802435028856
logistic_regression,A,cat__confederation_pair_CONCACAF_vs_UEFA,0.015577742727921902,0.015577742727921902
logistic_regression,D,num__is_qualifier,-0.0151388706935977,0.0151388706935977
logistic_regression,A,cat__home_confederation_CONCACAF,-0.014181989521751167,0.014181989521751167
logistic_regression,D,num__weighted_form_points_diff_last5,-0.013236554252264075,0.013236554252264075
logistic_regression,A,cat__home_confederation_CONMEBOL,-0.013232281768929882,0.013232281768929882
logistic_regression,D,num__neutral,-0.012507609479314712,0.012507609479314712
logistic_regression,A,num__is_world_cup,0.012229753704343236,0.012229753704343236
logistic_regression,A,num__is_continental,0.011028045655588462,0.011028045655588462
logistic_regression,D,num__fifa_points_diff_filled,-0.010732115583809567,0.010732115583809567
logistic_regression,D,num__form_points_per_match_diff_last5,0.009005101051857162,0.009005101051857162
logistic_regression,A,num__home_days_since_last_match_last5,-0.008810663214891643,0.008810663214891643
logistic_regression,A,num__win_rate_diff_last5,-0.008496946884263104,0.008496946884263104
logistic_regression,D,num__is_world_cup,-0.007359485679207335,0.007359485679207335
logistic_regression,H,cat__host_confederation_AFC,-0.005977733005558235,0.005977733005558235
logistic_regression,D,num__confed_avg_elo_diff_prior_filled,-0.0053388026417134655,0.0053388026417134655
logistic_regression,H,num__is_world_cup,-0.004870268025135253,0.004870268025135253
logistic_regression,H,num__form_points_per_match_diff_last5,-0.004593827843544869,0.004593827843544869
logistic_regression,D,num__home_days_since_last_match_last5,0.004498377228553078,0.004498377228553078
logistic_regression,A,num__form_points_per_match_diff_last5,-0.004411273208310846,0.004411273208310846
logistic_regression,D,num__home_confed_matches_host_confed,0.004343327417072701,0.004343327417072701
logistic_regression,H,num__home_days_since_last_match_last5,0.004312285986344271,0.004312285986344271
logistic_regression,H,num__tournament_importance,-0.003530179759924131,0.003530179759924131
logistic_regression,A,num__away_confed_matches_host_confed,0.0018599024875183506,0.0018599024875183506
logistic_regression,A,num__is_qualifier,-0.001793473096100352,0.001793473096100352
logistic_regression,A,cat__home_confederation_AFC,-0.0016136122137374964,0.0016136122137374964
